"College Code","College Desc","Division Code","Division Desc","Dept1 Short Desc","Dept2 Code","Dept2 Short Desc","Dept1 Code","Prog Code","Prog Short Title","Prog Long Title","ATAS Req’d Ind","Prog Mode Code","Prog Mode Desc","Campus Code","Campus Desc","Length","Degree Code","Degree Long Desc","Joint Honours Ind","Alt Qual Ind","Subject1 Code","Subject1 Desc","Subject2 Code","Subject2 Desc","Subject3 Code","Subject3 Desc","Delivering Institution 1 Code","Delivering Institution 1 Desc","Delivering Institution 2 Code","Delivering Institution 2 Desc","Delivering Institution 3 Code","Delivering Institution 3 Desc","UOM Code","UOM Desc","Major Dept Code","Major Dept Short Desc","Reg Body Code","Reg Body Desc"
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Music","","","134","070D","PhD Musical Composition FT M4C","","N","01","Full-time according to funding coun","B","Birmingham","36","057","Doctor of Philosophy","N","N","W300","Music","","","","","0110","University of Birmingham","","","","","2","Months","134","Music","",""
"11","College Arts and Law","050","Phil, Theology and Religion","Philosophy","236","English Literature","140","986C","BA Philos w Eng w Int Stud Yr","Philosophy with English with International Study Year","N","01","Full-time according to funding coun","B","Birmingham","4","003","Bachelor of Arts","N","N","Q320","English literature","V500","Philosophy","","","0110","University of Birmingham","","","","","1","Year(s)","140","Philosophy","",""
"12","College Social Sciences","020","School of Education","Disab, Inclusion & Spec Needs","","","231","113D","MEd Sev Prof Mul Lea Disab DL","Severe Profound and Multiple Learning Disabilities","N","31","Part-time","D","Distance Education","3","043","Master of Education","N","N","X161","Training teachers - special needs","","","","","0110","University of Birmingham","","","","","1","Year(s)","231","Disab, Inclusion & Spec Needs","",""
"12","College Social Sciences","020","School of Education","Disab, Inclusion & Spec Needs","","","231","115D","PGCert Sev Pro Mult Disab DL","Severe, Profound and Multiple Disabilities","N","31","Part-time","D","Distance Education","1","086","Postgraduate Certificate","N","N","X161","Training teachers - special needs","","","","","0110","University of Birmingham","","","","","1","Year(s)","231","Disab, Inclusion & Spec Needs","",""
"12","College Social Sciences","012","Birmingham Business School","Birmingham Business School","","","211","997C","PGDip Management AQ","Management","N","01","Full-time according to funding coun","B","Birmingham","1","001","Postgraduate Diploma","N","Y","N200","Management studies","","","","","0110","University of Birmingham","","","","","1","Year(s)","211","Birmingham Business School","",""
"12","College Social Sciences","035","School of Social Policy","Dept of Soc Pol and Soc (DNU)","","","035","2223","PhD Dept Soc Pol + Soc Work FT","","N","01","Full-time according to funding coun","B","Birmingham","36","057","Doctor of Philosophy","N","N","L400","Social policy","","","","","0110","University of Birmingham","","","","","2","Months","035","Dept of Soc Pol and Soc (DNU)","",""
"13","College Eng and Physical Sci","080","School of Engineering","Civil Engineering","","","015","896C","PGDip Rail Saf+Con Sy w Pre FT","Railway Safety and Control Systems","N","01","Full-time according to funding coun","J","Joint Institutions","10","001","Postgraduate Diploma","N","N","H200","Civil engineering","","","","","0110","University of Birmingham","Z159","The University of York","","","2","Months","015","Civil Engineering","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Institute of Clinical Sciences","","","256","071C","MSc Res Clin Sc NonLab PT B100","","Y","31","Part-time","B","Birmingham","2","071","Master of Science","N","N","B100","Anatomy, physiology & pathology","","","","","0110","University of Birmingham","","","","","1","Year(s)","256","Institute of Clinical Sciences","",""
"13","College Eng and Physical Sci","056","Chemical Engineering","Chemical Engineering","142","Political Sci & Intern'tl Stud","013","913C","MSc Global Energy Tec + Sys FT","Global Energy Technologies and Systems","N","01","Full-time according to funding coun","B","Birmingham","12","039","Master of Science","N","N","J910","Energy technologies","","","","","0110","University of Birmingham","","","","","2","Months","013","Chemical Engineering","",""
"13","College Eng and Physical Sci","016","Computer Science","Computer Science","","","016","930C","PhD Compu Sci with Industry FT","","Y","01","Full-time according to funding coun","B","Birmingham","3","057","Doctor of Philosophy","N","N","I100","Computer science","","","","","0110","University of Birmingham","","","","","1","Year(s)","016","Computer Science","",""
